Warship;Tier;Type;Nation;Battles;Win rate;Avg. frags;Avg. damage;Avg. experience;Avg. planes destroyed;Kills / deaths;Premium
 Tirpitz;8;Battleship;Germany;11 964 389;48,37%;0,62;47 002;1 275;1,51;1,05;1
 Scharnhorst;7;Battleship;Germany;6 074 533;51,55%;0,86;48 860;1 323;1,71;1,47;1
 Atago;8;Cruiser;Japan;4 964 764;49,39%;0,58;36 311;1 255;1,05;0,99;1
 Atlanta;7;Cruiser;U.S.A.;4 182 033;49,48%;0,68;28 843;1 267;2,74;0,96;1
 Missouri;9;Battleship;U.S.A.;3 766 007;53,37%;0,8;67 751;1 634;2,6;1,34;1
 Mikhail Kutuzov;8;Cruiser;U.S.S.R.;3 488 484;51,20%;0,66;47 447;1 363;1,95;1,17;1
 Kamikaze R;5;Destroyer;Japan;3 092 040;56,64%;1,14;34 383;1 159;0;1,98;1
 Admiral Graf Spee;6;Cruiser;Germany;3 008 688;53,47%;0,66;32 442;1 032;0,97;1,1;1
 Murmansk;5;Cruiser;U.S.S.R.;2 649 339;52,17%;0,8;30 111;1 032;1,1;1,19;1
 Musashi;9;Battleship;Japan;2 414 896;52,61%;0,82;82 645;1 609;0,97;1,57;1
 Belfast;7;Cruiser;U.K.;2 313 053;55,26%;0,91;45 259;1 417;1,52;1,62;1
 Dunkerque;6;Battleship;France;2 182 890;51,25%;0,77;44 056;1 152;1,24;1,23;1
 Warspite;6;Battleship;U.K.;2 053 646;51,01%;0,8;43 255;1 193;1,11;1,46;1
 B?yskawica;7;Destroyer;nation_europe;2 048 585;50,83%;0,65;26 137;1 155;0,14;1,01;1
 Oktyabrskaya Revolutsiya;5;Battleship;U.S.S.R.;1 574 387;52,67%;0,96;45 457;1 098;2,04;1,92;1
 Texas;5;Battleship;U.S.A.;1 433 425;53,09%;0,81;40 382;1 155;3,29;1,55;1
 Jean Bart;9;Battleship;France;1 341 544;51,46%;0,83;78 870;1 706;3,63;1,37;1
 Nelson;7;Battleship;U.K.;1 308 746;54,04%;0,93;60 804;1 442;1,55;1,67;1
 Loyang;8;Destroyer;Pan-Asia;1 300 888;50,01%;0,57;25 236;1 378;0,54;0,9;1
 Giulio Cesare;5;Battleship;Italy;1 297 141;58,30%;1,23;55 361;1 306;1,69;2,65;1
 Prinz Eugen;8;Cruiser;Germany;1 230 672;49,38%;0,48;34 483;1 254;1,61;0,78;1
 Arkansas Beta;4;Battleship;U.S.A.;1 198 880;53,54%;1;37 055;864;0;1,84;1
 Salem;10;Cruiser;U.S.A.;1 171 330;47,06%;0,73;67 037;1 561;3,42;1,17;1
 Aigle;6;Destroyer;France;1 118 156;50,45%;0,68;25 416;1 052;0,09;1,01;1
 Duke of York;7;Battleship;U.K.;1 097 565;51,05%;0,82;52 914;1 330;2,04;1,43;1
 Ishizuchi;4;Battleship;Japan;1 019 556;52,69%;0,89;33 246;810;0,16;1,48;1
 Indianapolis;7;Cruiser;U.S.A.;961 813;49,83%;0,59;32 496;1 192;1,31;0,9;1
 Gremyashchy;5;Destroyer;U.S.S.R.;953 925;53,34%;0,93;28 175;1 138;0,34;1,6;1
 Gallant;6;Destroyer;U.K.;903 438;52,04%;0,75;25 196;1 152;0,01;1,2;1
 Campbeltown;3;Destroyer;U.K.;889 561;53,09%;0,88;21 605;763;0,03;1,27;1
 Kronshtadt;9;Cruiser;U.S.S.R.;851 869;54,86%;0,74;64 934;1 722;1,06;1,41;1
 Arizona;6;Battleship;U.S.A.;833 985;54,63%;0,92;50 009;1 264;0,92;1,96;1
 Shinonome;6;Destroyer;Japan;816 146;54,95%;0,89;30 836;1 234;0,01;1,44;1
 Hood;7;Battleship;U.K.;789 958;50,60%;0,79;48 455;1 293;2,47;1,46;1
 Emden;2;Cruiser;Germany;773 284;53,13%;0,85;16 783;585;0;1,37;1
 Massachusetts;8;Battleship;U.S.A.;745 799;53,46%;0,84;61 377;1 530;3,66;1,41;1
 Cossack;8;Destroyer;U.K.;714 196;50,77%;0,72;33 235;1 573;0,09;1,24;1
 Asashio;8;Destroyer;Japan;676 033;51,58%;0,75;53 321;1 552;0,07;1,53;1
 Duca d'Aosta;6;Cruiser;Italy;649 308;51,67%;0,63;28 189;1 107;0,87;0,98;1
 Anshan;6;Destroyer;Pan-Asia;611 825;52,70%;0,72;25 370;1 173;0,38;1,18;1
 Roma;8;Battleship;Italy;560 321;51,57%;0,71;56 005;1 460;1,48;1,3;1
 De Grasse;6;Cruiser;France;528 068;51,88%;0,64;31 533;1 099;0,97;0,99;1
 F?jin;5;Destroyer;Japan;502 401;56,61%;1,11;33 356;1 179;0;1,95;1
 HSF Harekaze;8;Destroyer;Japan;476 071;49,96%;0,59;27 543;1 353;0,36;0,92;1
 Imperator Nikolai I;4;Battleship;U.S.S.R.;466 267;60,45%;1,28;47 092;998;0,05;2,6;1
 Kidd;8;Destroyer;U.S.A.;462 466;51,93%;0,63;28 760;1 535;3,11;1,13;1
 Kii;8;Battleship;Japan;448 779;50,07%;0,64;50 976;1 367;2,52;1,14;1
 Mutsu;6;Battleship;Japan;430 835;51,08%;0,77;45 540;1 196;0,69;1,37;1
 Perth;6;Cruiser;Commonwealth;428 210;53,36%;0,73;32 134;1 184;0,89;1,23;1
 Marblehead;5;Cruiser;U.S.A.;374 290;52,24%;0,69;27 302;1 005;0,22;0,96;1
 Kamikaze;5;Destroyer;Japan;373 738;58,32%;1,21;36 991;1 302;0;2,31;1
 Okhotnik;5;Destroyer;U.S.S.R.;349 056;52,50%;0,86;24 923;1 042;0,08;1,18;1
 Albany;2;Cruiser;U.S.A.;331 931;51,55%;0,77;14 668;595;0;1,13;1
 HSF Admiral Graf Spee;6;Cruiser;Germany;330 032;53,33%;0,64;31 116;1 053;0,91;1,06;1
 Gascogne;8;Battleship;France;322 778;49,43%;0,67;53 536;1 382;1,54;1,23;1
 Tachibana;2;Destroyer;Japan;306 904;52,36%;0,89;14 936;655;0;1,34;1
 Vampire;3;Destroyer;Commonwealth;297 744;56,77%;1,1;23 963;807;0,15;1,91;1
 Z-39;7;Destroyer;Germany;273 629;52,67%;0,77;28 853;1 346;0,63;1,36;1
