If you like our site, please consider disabling ads blocker and support wows-numbers.com. Ads = better and faster server, more data from game, more new features in the future.;;;;;;;;;;
Type:ÿÿÿÿAll |ÿÿDestroyerÿÿAircraft CarrierÿÿBattleshipÿÿCruiserÿTier:ÿÿÿ;;;;;;;;;;
;;;;;;;;;;
Nation:ÿÿÿÿAll |ÿÿCommonwealthÿÿnation_europeÿÿItalyÿÿU.S.A.ÿÿPan-AsiaÿÿFranceÿÿU.S.S.R.ÿÿGermanyÿÿU.K.ÿÿJapanÿÿPan-America;;;;;;;;;;
Consumables:ÿÿÿÿSpotting AircraftÿÿCatapult FighterÿÿRepair PartyÿÿSmoke GeneratorÿÿEngine BoostÿÿTorpedo Tubes Reload SystemÿÿHydroacoustic SearchÿÿDefensive Anti-Aircraft FireÿÿSurveillance Radar;;;;;;;;;;
Show only:ÿÿPremium ShipsÿÿRegular Ships;;;;;;;;;;
;;;;;;;;;;
Warship;Tier;Type;Nation;Battles;Win rate;Avg. frags;Avg. damage;Avg. experience;Avg. planes destroyed;Kills / deaths
Lyon;7;Battleship;France;2 859 804;52,54%;0,96;55 253;1 340;2,1;1,91
Cleveland;8;Cruiser;U.S.A.;2 832 497;50,54%;0,57;37 790;1 258;2,26;0,89
Fubuki (< 01.12.2016);8;Destroyer;Japan;2 813 719;49,26%;0,63;28 357;1 272;0,21;1
Neptune;9;Cruiser;U.K.;2 806 267;50,14%;0,69;48 444;1 410;2,48;1,11
Hosho (<30.01.2019);4;Aircraft Carrier;Japan;2 800 338;52,15%;0,85;38 522;743;7,79;2,48
Kolberg;3;Cruiser;Germany;2 776 986;49,03%;0,62;15 435;513;0;0,88
T-22;5;Destroyer;Germany;2 760 649;49,03%;0,56;17 611;821;0,51;0,78
Ernst Gaede;6;Destroyer;Germany;2 739 582;51,77%;0,63;22 287;1 014;0,24;0,93
Tenry?;3;Cruiser;Japan;2 721 986;48,91%;0,68;17 776;580;0,02;0,95
Ryujo (<30.01.2019);6;Aircraft Carrier;Japan;2 653 303;51,58%;0,73;39 870;1 080;9,68;2,75
Moskva;10;Cruiser;U.S.S.R.;2 615 522;49,60%;0,7;70 609;1 596;2,16;1,22
Iron Duke;5;Battleship;U.K.;2 560 987;51,22%;0,79;39 148;936;1,33;1,45
Ranger (<30.01.2019);7;Aircraft Carrier;U.S.A.;2 510 630;46,91%;0,74;44 784;1 166;15,88;2,18
Alg‚rie;7;Cruiser;France;2 478 934;50,75%;0,64;37 879;1 152;1,02;1,07
Mutsuki;5;Destroyer;Japan;2 461 359;48,65%;0,57;18 933;777;0,63;0,85
Richelieu;8;Battleship;France;2 444 566;52,34%;0,74;58 617;1 443;2,18;1,23
V-170;4;Destroyer;Germany;2 426 280;51,54%;0,78;20 342;637;0,04;1,12
Nassau;3;Battleship;Germany;2 403 911;51,85%;0,98;28 137;570;0,04;1,85
Kawachi;3;Battleship;Japan;2 401 013;49,79%;0,71;19 522;560;0,04;1,18
Queen Elizabeth;6;Battleship;U.K.;2 327 417;50,58%;0,7;42 146;1 074;1,92;1,28
Danae;4;Cruiser;U.K.;2 313 517;51,25%;0,69;19 215;626;0,34;0,93
Charles Martel;8;Cruiser;France;2 286 107;51,86%;0,64;47 680;1 375;1,43;1,1
Svietlana;4;Cruiser;U.S.S.R.;2 241 004;52,04%;0,71;22 460;684;0,12;1
Conqueror;10;Battleship;U.K.;2 228 811;50,10%;0,8;100 124;1 730;1,96;1,69
Dmitri Donskoi;9;Cruiser;U.S.S.R.;2 222 980;51,04%;0,6;52 114;1 421;1,55;1,1
R‚publique;10;Battleship;France;2 195 029;49,86%;0,88;89 615;1 693;2,58;1,56
Izyaslav;4;Destroyer;U.S.S.R.;2 159 942;50,18%;0,69;17 602;669;0,08;0,9
Leberecht Maass;7;Destroyer;Germany;2 157 550;52,25%;0,72;26 772;1 207;0,29;1,12
Wickes;3;Destroyer;U.S.A.;2 102 056;47,65%;0,6;13 124;513;0,01;0,73
Hiryu (<30.01.2019);7;Aircraft Carrier;Japan;2 029 379;50,66%;0,84;48 218;1 181;15,99;3,66
Wakatake;3;Destroyer;Japan;1 990 349;48,73%;0,65;15 568;533;0,02;0,91
Shiratsuyu;7;Destroyer;Japan;1 978 288;53,39%;0,81;32 110;1 288;0,29;1,43
Z-23;8;Destroyer;Germany;1 963 929;50,99%;0,61;28 567;1 365;0,31;0,95
Alsace;9;Battleship;France;1 962 645;51,72%;0,79;69 932;1 543;2,03;1,33
Normandie;6;Battleship;France;1 951 036;52,70%;0,87;46 856;1 148;0,32;1,72
Monarch;8;Battleship;U.K.;1 945 917;51,11%;0,67;57 278;1 418;1,74;1,22
Duguay-Trouin;4;Cruiser;France;1 867 933;52,05%;0,76;25 386;648;0,28;1,1
Umikaze;2;Destroyer;Japan;1 859 298;48,91%;0,7;12 904;481;0;1,08
Akizuki;8;Destroyer;Japan;1 854 364;52,16%;0,72;36 959;1 516;1,67;1,1
Lexington (<30.01.2019);8;Aircraft Carrier;U.S.A.;1 816 976;47,20%;0,76;54 092;1 248;15,12;2,96
Baltimore (<31.05.2018);9;Cruiser;U.S.A.;1 811 335;50,57%;0,57;40 345;1 374;2,06;0,97
Hatsuharu;6;Destroyer;Japan;1 776 186;52,03%;0,67;24 560;1 082;0,65;1,1
Z-52;10;Destroyer;Germany;1 646 343;50,32%;0,69;39 743;1 503;1,09;1,1
ARP Kong?;5;Battleship;Japan;1 636 055;52,83%;0,81;38 783;950;1,34;1,61
Orion;4;Battleship;U.K.;1 619 242;53,04%;1,08;42 013;761;1,39;2,16
ARP Takao;8;Cruiser;Japan;1 577 441;51,31%;0,61;40 651;1 225;0,79;0,99
Worcester;10;Cruiser;U.S.A.;1 545 370;50,84%;0,8;70 188;1 699;4,09;1,47
Henri IV;10;Cruiser;France;1 540 199;50,45%;0,82;81 953;1 701;2,52;1,64
Gnevny (< 06.03.2017);5;Destroyer;U.S.S.R.;1 460 731;50,53%;0,68;19 747;879;0,16;0,97
Z-46;9;Destroyer;Germany;1 442 506;52,11%;0,71;36 211;1 521;0,54;1,15
Dresden;2;Cruiser;Germany;1 392 322;49,24%;0,74;14 274;474;0;1,19
Khabarovsk;10;Destroyer;U.S.S.R.;1 382 346;51,94%;0,83;59 774;1 625;1,07;1,57
Alabama;8;Battleship;U.S.A.;1 374 228;50,65%;0,69;53 268;1 366;2,76;1,3
Derzki;3;Destroyer;U.S.S.R.;1 358 456;48,92%;0,65;13 408;506;0;0,8
Shokaku (<30.01.2019);8;Aircraft Carrier;Japan;1 354 935;51,60%;0,83;55 772;1 314;16,46;4,49
Lion;9;Battleship;U.K.;1 322 662;50,71%;0,67;71 414;1 518;1,8;1,37
Baltimore;8;Cruiser;U.S.A.;1 313 235;51,03%;0,58;39 438;1 304;2,64;0,88
Sims;7;Destroyer;U.S.A.;1 244 900;49,30%;0,57;21 398;1 321;0,86;0,89
Saint-Louis;9;Cruiser;France;1 209 337;51,11%;0,63;57 526;1 463;1,73;1,19
Caledon;3;Cruiser;U.K.;1 203 245;49,29%;0,67;16 723;514;0,06;0,94
Bretagne;5;Battleship;France;1 190 964;49,96%;0,72;35 114;886;1,41;1,29
Chester;2;Cruiser;U.S.A.;1 162 580;46,37%;0,48;10 943;444;0;0,7
Kagero (< 01.12.2016);9;Destroyer;Japan;1 162 455;49,25%;0,66;34 735;1 401;0,11;1,21
Ognevoi;8;Destroyer;U.S.S.R.;1 140 316;49,78%;0,59;28 172;1 357;0,51;0,95
Chikuma;2;Cruiser;Japan;1 131 397;48,72%;0,59;13 479;472;0;0,89
Buffalo;9;Cruiser;U.S.A.;1 129 334;49,60%;0,56;46 632;1 360;1,98;0,91
Udaloi;9;Destroyer;U.S.S.R.;1 127 647;51,20%;0,7;40 227;1 531;0,97;1,15
Kiev (< 06.03.2017);7;Destroyer;U.S.S.R.;1 115 308;51,80%;0,72;28 621;1 241;0,22;1,06
G-101;3;Destroyer;Germany;1 093 600;49,04%;0,69;15 443;518;0;0,93
New Orleans;7;Cruiser;U.S.A.;1 077 692;49,17%;0,58;33 744;1 113;1,83;0,91
ARP My?k?;7;Cruiser;Japan;1 065 169;51,43%;0,7;34 062;1 122;1,42;1,09
Ognevoi (< 06.03.2017);6;Destroyer;U.S.S.R.;1 061 779;51,22%;0,63;21 063;1 063;0,16;0,92
Gadjah Mada;7;Destroyer;Pan-Asia;1 058 614;54,40%;0,88;35 157;1 384;0,23;1,49
Molotov;6;Cruiser;U.S.S.R.;1 055 717;51,39%;0,66;33 368;1 166;0,78;0,99
Leningrad;7;Destroyer;U.S.S.R.;1 052 379;52,06%;0,72;28 584;1 258;0,24;1,17
ARP Haruna;5;Battleship;Japan;1 046 381;51,81%;0,76;36 759;907;1,3;1,5
Bogatyr;3;Cruiser;U.S.S.R.;1 045 497;50,51%;0,77;21 818;552;0;1,22
Black Swan;1;Cruiser;U.K.;1 020 540;50,94%;1,08;6 615;512;0;1,92
Seattle;9;Cruiser;U.S.A.;1 013 341;51%;0,58;46 896;1 449;2,89;1,03
Kitakaze;9;Destroyer;Japan;1 003 041;52,52%;0,82;49 237;1 668;1,31;1,31
Friant;3;Cruiser;France;995 558;48,62%;0,69;18 058;510;0,1;0,96
Kiev;8;Destroyer;U.S.S.R.;991 974;50,34%;0,61;33 762;1 361;0,46;0,95
ARP Haguro;7;Cruiser;Japan;989 473;48,97%;0,57;30 403;983;1,06;0,84
Sampson;2;Destroyer;U.S.A.;982 535;45,78%;0,54;9 573;426;0;0,69
Hermelin;1;Cruiser;Germany;978 767;48,60%;0,91;8 182;486;0;1,59
Fushun;6;Destroyer;Pan-Asia;942 033;53,28%;0,74;28 044;1 151;0,27;1,23
V-25;2;Destroyer;Germany;941 342;47,80%;0,82;13 456;489;0;1,24
Pensacola;6;Cruiser;U.S.A.;934 771;49,39%;0,49;25 702;932;2,01;0,72
Harugumo;10;Destroyer;Japan;930 642;50,77%;0,83;58 409;1 658;1,62;1,28
Yueyang;10;Destroyer;Pan-Asia;917 046;52,25%;0,84;55 549;1 646;0,69;1,56
Jervis;7;Destroyer;U.K.;898 460;52,71%;0,8;27 637;1 302;0,21;1,29
Prinz Eitel Friedrich;6;Battleship;Germany;893 458;52,55%;0,89;46 169;1 370;2,42;1,56
Lightning;8;Destroyer;U.K.;884 043;52,82%;0,77;33 427;1 585;0,56;1,29
Erie;1;Cruiser;U.S.A.;879 661;48,52%;0,82;8 813;475;0;1,35
Y?bari;4;Cruiser;Japan;858 324;51,91%;0,78;23 740;802;2,44;1,16
Jianwei;5;Destroyer;Pan-Asia;856 371;50,47%;0,65;22 294;892;0,1;0,98
Gnevny;6;Destroyer;U.S.S.R.;847 784;50,28%;0,56;20 368;1 062;0,2;0,81
Essex (<30.01.2019);9;Aircraft Carrier;U.S.A.;839 726;47,70%;0,92;70 077;1 350;21,48;4,43
Dallas;6;Cruiser;U.S.A.;825 406;52,35%;0,62;29 620;1 105;2,59;0,99
Icarus;6;Destroyer;U.K.;819 151;51,49%;0,66;21 006;1 055;0,13;1,03
Grozovoi;10;Destroyer;U.S.S.R.;819 064;50,88%;0,74;45 695;1 597;2,75;1,25
Tashkent;9;Destroyer;U.S.S.R.;789 596;49,29%;0,59;38 866;1 494;0,47;1
ARP Hiei;5;Battleship;Japan;743 194;52,29%;0,76;37 416;928;1,36;1,47
Shenyang;4;Destroyer;Pan-Asia;729 480;52,33%;0,89;25 314;714;0,12;1,4
Minsk;7;Destroyer;U.S.S.R.;717 601;51,30%;0,66;27 471;1 229;0,37;1,01
Storozhevoi;2;Destroyer;U.S.S.R.;711 801;47,10%;0,62;10 088;421;0;0,83
Taiho (<30.01.2019);9;Aircraft Carrier;Japan;708 874;52,31%;1,14;80 887;1 452;18,41;7,33
Podvoisky;5;Destroyer;U.S.S.R.;699 454;49,19%;0,57;18 039;901;0,29;0,73
Orlan;1;Cruiser;U.S.S.R.;698 799;48,98%;0,84;9 065;482;0;1,38
Saipan (<30.01.2019);7;Aircraft Carrier;U.S.A.;693 865;51,28%;0,72;42 469;1 369;20,62;3,82
Ranger;6;Aircraft Carrier;U.S.A.;683 459;49,79%;0,61;34 095;1 163;3,96;2,03
Chung Mu;9;Destroyer;Pan-Asia;681 274;53,87%;0,85;49 148;1 671;0,62;1,52
Lexington;8;Aircraft Carrier;U.S.A.;681 272;49,70%;0,78;54 651;1 629;5,32;3,72
Hsienyang;8;Destroyer;Pan-Asia;676 833;51,64%;0,66;33 246;1 479;0,69;1,1
Bellerophon;3;Battleship;U.K.;644 141;49,96%;0,85;28 146;562;0,09;1,6
Midway (<30.01.2019);10;Aircraft Carrier;U.S.A.;641 544;46,46%;1,27;96 708;1 790;25,67;6,82
Ry?j?;6;Aircraft Carrier;Japan;635 977;51,47%;0,73;38 956;1 250;3,93;3,53
Helena;7;Cruiser;U.S.A.;631 996;51,57%;0,74;39 492;1 300;2,57;1,18
Tashkent (< 06.03.2017);8;Destroyer;U.S.S.R.;618 316;49,93%;0,62;29 130;1 336;0,28;0,9
Alaska;9;Cruiser;U.S.A.;608 329;54,07%;0,78;66 090;1 718;3,82;1,4
Midway;10;Aircraft Carrier;U.S.A.;586 338;47,59%;0,84;76 350;1 859;6,3;4,38
ARP Kirishima;5;Battleship;Japan;580 747;52,32%;0,76;37 480;917;1,25;1,48
Acasta;5;Destroyer;U.K.;560 425;49,92%;0,61;17 443;843;0,12;0,89
Vladivostok;8;Battleship;U.S.S.R.;554 324;54,31%;0,87;63 786;1 748;3,75;1,53
Hashidate;1;Cruiser;Japan;547 717;50,48%;0,97;10 137;523;0;1,76
Sinop;7;Battleship;U.S.S.R.;544 545;54,19%;1,03;61 224;1 595;3,36;1,82
Jutland;9;Destroyer;U.K.;529 956;52,84%;0,78;39 737;1 671;0,83;1,47
Furious;6;Aircraft Carrier;U.K.;501 393;51,34%;0,69;39 670;1 266;4,5;2,74
Sh?kaku;8;Aircraft Carrier;Japan;498 448;49,78%;0,78;52 495;1 627;5,2;4,27
Izmail;6;Battleship;U.S.S.R.;485 628;52,66%;0,96;50 885;1 353;3,22;1,63
Courbet;4;Battleship;France;438 456;50,31%;0,83;32 692;658;0,44;1,54
Weymouth;2;Cruiser;U.K.;428 335;47,48%;0,59;13 703;449;0;0,97
Kremlin;10;Battleship;U.S.S.R.;420 143;53,37%;1,02;95 849;1 942;5,37;1,89
Langley;4;Aircraft Carrier;U.S.A.;413 316;50,54%;0,54;21 668;670;2,08;1,47
Pyotr Velikiy;5;Battleship;U.S.S.R.;412 606;52,14%;0,91;43 927;1 103;2,9;1,58
H?sh?;4;Aircraft Carrier;Japan;402 160;51,95%;0,66;26 027;717;2,13;2,36
Hakuryu (<30.01.2019);10;Aircraft Carrier;Japan;393 295;47,79%;1,24;94 973;1 658;21,44;6,94
Stalingrad;10;Cruiser;U.S.S.R.;391 022;57,71%;1,04;96 771;2 055;4,08;1,93
ARP Ashigara;7;Cruiser;Japan;373 913;49,53%;0,59;31 949;1 015;1,06;0,87
Daring;10;Destroyer;U.K.;366 760;52,55%;0,84;47 934;1 673;1,02;1,54
Implacable;8;Aircraft Carrier;U.K.;359 317;49,77%;0,76;55 059;1 696;5,35;3,88
Hakury?;10;Aircraft Carrier;Japan;345 232;48,89%;0,9;81 160;1 916;5,66;4,93
T-61;6;Destroyer;Germany;329 481;54,89%;0,89;29 816;1 336;0,43;1,51
Sovetsky Soyuz;9;Battleship;U.S.S.R.;325 025;51,91%;0,81;71 094;1 702;2,55;1,37
Novik;2;Cruiser;U.S.S.R.;322 561;46,14%;0,62;13 268;456;0;1
Georgia;9;Battleship;U.S.A.;310 382;52,51%;0,84;73 811;1 607;3,68;1,34
Yoshino;10;Cruiser;Japan;310 214;48,89%;0,74;83 021;1 621;2,82;1,63
Southern Dragon;7;Cruiser;Japan;303 361;49,77%;0,62;34 524;1 108;1,19;0,96
Massachusetts B;8;Battleship;U.S.A.;302 975;54,09%;0,85;62 850;1 585;3,72;1,43
Jurien de la GraviŠre;2;Cruiser;France;292 822;46,35%;0,62;14 429;445;0;0,99
Phra Ruang;3;Destroyer;Pan-Asia;269 158;47,52%;0,65;16 437;522;0,09;1,03
Hermes;4;Aircraft Carrier;U.K.;264 829;51,81%;0,62;23 769;701;1,99;2,11
Kaga (<30.01.2019);7;Aircraft Carrier;Japan;257 672;55,62%;1,22;63 379;1 348;15,05;5,46
Longjiang;2;Destroyer;Pan-Asia;256 606;46,52%;0,73;14 117;494;0;1,3
Turenne;3;Battleship;France;252 916;49,72%;0,79;24 705;534;0,01;1,46
Tirpitz B;8;Battleship;Germany;219 923;49,49%;0,61;49 369;1 399;1,71;0,93
Asashio B;8;Destroyer;Japan;216 925;51,54%;0,75;52 982;1 574;0,07;1,48
Enterprise (<30.01.2019);8;Aircraft Carrier;U.S.A.;214 407;53,15%;0,87;63 374;1 411;17,85;5,51
Bougainville;1;Cruiser;France;200 661;47,96%;0,83;5 511;449;0;1,37
Smolensk;10;Cruiser;U.S.S.R.;197 292;51,15%;0,97;89 588;1 899;3,29;1,91
Graf Zeppelin;8;Aircraft Carrier;Germany;180 410;48,55%;0,69;51 865;1 609;4,97;2,93
Enterprise;8;Aircraft Carrier;U.S.A.;172 674;51,76%;0,9;58 380;1 845;7,21;5,2
Audacious;10;Aircraft Carrier;U.K.;171 840;50,05%;0,96;86 262;2 010;5,21;5,15
Gu‚pard;6;Destroyer;France;162 720;50,78%;0,67;24 857;1 134;0,39;1
Benham;9;Destroyer;U.S.A.;153 425;52,28%;0,85;47 315;1 727;1,24;1,62
Azuma;9;Cruiser;Japan;144 164;52,66%;0,72;73 041;1 715;4,38;1,61
Exeter;5;Cruiser;U.K.;143 147;53,97%;0,78;30 212;1 182;3,51;1,23
Atago B;8;Cruiser;Japan;140 282;51,09%;0,65;45 118;1 501;1,62;1,19
Jaguar;5;Destroyer;France;140 065;49,26%;0,67;21 724;927;0,28;0,96
Kaga;8;Aircraft Carrier;Japan;138 066;50,28%;0,77;59 239;1 701;4,77;3,82
Boise;7;Cruiser;U.S.A.;134 197;52,79%;0,82;43 294;1 433;2;1,48
Wakeful;4;Destroyer;U.K.;132 313;49,77%;0,74;18 765;668;0,15;1,06
