If you like our site, please consider disabling ads blocker and support wows-numbers.com. Ads = better and faster server, more data from game, more new features in the future.;;;;;;;;;;
Type:ÿÿÿÿAll |ÿÿDestroyerÿÿAircraft CarrierÿÿBattleshipÿÿCruiserÿTier:ÿÿÿ;;;;;;;;;;
;;;;;;;;;;
Nation:ÿÿÿÿAll |ÿÿCommonwealthÿÿnation_europeÿÿItalyÿÿU.S.A.ÿÿPan-AsiaÿÿFranceÿÿU.S.S.R.ÿÿGermanyÿÿU.K.ÿÿJapanÿÿPan-America;;;;;;;;;;
Consumables:ÿÿÿÿSpotting AircraftÿÿCatapult FighterÿÿRepair PartyÿÿSmoke GeneratorÿÿEngine BoostÿÿTorpedo Tubes Reload SystemÿÿHydroacoustic SearchÿÿDefensive Anti-Aircraft FireÿÿSurveillance Radar;;;;;;;;;;
Show only:ÿÿPremium ShipsÿÿRegular Ships;;;;;;;;;;
;;;;;;;;;;
Warship;Tier;Type;Nation;Battles;Win rate;Avg. frags;Avg. damage;Avg. experience;Avg. planes destroyed;Kills / deaths
ÿOkhotnik;5;Destroyer;U.S.S.R.;349 056;52,50%;0,86;24 923;1 042;0,08;1,18
ÿAlbany;2;Cruiser;U.S.A.;331 931;51,55%;0,77;14 668;595;0;1,13
ÿHSF Admiral Graf Spee;6;Cruiser;Germany;330 032;53,33%;0,64;31 116;1 053;0,91;1,06
ÿGascogne;8;Battleship;France;322 778;49,43%;0,67;53 536;1 382;1,54;1,23
ÿTachibana;2;Destroyer;Japan;306 904;52,36%;0,89;14 936;655;0;1,34
ÿVampire;3;Destroyer;Commonwealth;297 744;56,77%;1,1;23 963;807;0,15;1,91
ÿZ-39;7;Destroyer;Germany;273 629;52,67%;0,77;28 853;1 346;0,63;1,36
ÿSmith;2;Destroyer;U.S.A.;247 665;51,83%;0,81;13 454;634;0;1,16
ÿAurora;3;Cruiser;U.S.S.R.;240 210;52,16%;0,87;23 507;733;0,04;1,32
ÿHuanghe;6;Cruiser;Pan-Asia;227 876;51,52%;0,67;29 236;1 187;2,53;1,06
ÿFlint;7;Cruiser;U.S.A.;226 240;59,56%;1,12;54 210;1 768;4,2;2,01
ÿK”nig Albert;3;Battleship;Germany;222 157;59,07%;1,26;36 922;872;0,09;2,61
ÿCharleston;3;Cruiser;U.S.A.;198 216;51,10%;0,76;20 499;615;0,02;1,27
ÿBlack;9;Destroyer;U.S.A.;178 153;55,60%;0,85;45 075;1 783;1,18;1,61
ÿMikasa;2;Battleship;Japan;173 039;53,43%;0,68;13 471;548;0;1,14
ÿDuca degli Abruzzi;7;Cruiser;Italy;165 591;51,82%;0,75;37 971;1 335;0,76;1,43
ÿDiana;2;Cruiser;U.S.S.R.;148 600;51,22%;0,73;15 840;585;0;1,2
ÿMonaghan;6;Destroyer;U.S.A.;146 942;52,24%;0,72;24 558;1 178;1,36;1,2
ÿVanguard;8;Battleship;U.K.;143 926;50,01%;0,65;54 906;1 495;2,72;1,27
ÿHaida;7;Destroyer;Commonwealth;126 617;51,60%;0,75;27 346;1 364;0,39;1,24
ÿAshitaka;7;Battleship;Japan;124 953;49,64%;0,8;52 506;1 297;0,52;1,47
ÿLe Terrible;8;Destroyer;France;118 973;48,35%;0,62;30 228;1 432;0,18;0,91
ÿKrasny Krym;5;Cruiser;U.S.S.R.;115 582;50,85%;0,6;25 274;994;1,01;0,87
ÿLenin;8;Battleship;U.S.S.R.;109 517;51,70%;0,8;59 911;1 703;4,15;1,3
ÿKatori;3;Cruiser;Japan;100 537;55,98%;0,98;27 869;823;0,46;1,67
ÿIwaki Alpha;4;Cruiser;Japan;86 434;57,77%;1,15;32 426;931;0,83;1,82
ÿVaryag;3;Cruiser;U.S.S.R.;72 970;52,62%;0,86;24 185;693;0;1,35
ÿAdmiral Makarov;6;Cruiser;U.S.S.R.;33 805;50,71%;0,64;34 592;1 157;1,18;1,03
ÿDreadnought;3;Battleship;U.K.;24 837;53,89%;1,05;32 703;839;0;1,98
ÿOleg;3;Cruiser;U.S.S.R.;13 628;53,55%;0,88;23 917;737;0;1,47
